name,Price,fantasy_score_with_difficulty,value_per_million,pos
Declan Rice,4500000.0,353469.7921106348,78548.84269125218,MF
Vitaliy Mykolenko,2500000.0,165521.48506732695,66208.59402693078,DF
Artem Dovbyk,5500000.0,1725436.0867624378,313715.65213862504,FW
Jude Bellingham,8000000.0,756375.9187821976,94546.9898477747,MF
Mikel Merino,3500000.0,252589.9032859379,72168.54379598226,MF
Harry Kane,9000000.0,1221077.46365492,135675.27373943556,FW
Ozan Kabak,3000000.0,151505.20960619027,50501.736535396754,DF
Koen Casteels,4500000.0,20216.000785488104,4492.444618997357,GK
Ruslan Malinovskyi,3000000.0,260821.73404548486,86940.57801516162,MF
Gianluca Mancini,3000000.0,124102.77863599178,41367.59287866393,DF
Lorenzo Pellegrini,3500000.0,265323.18191143067,75806.62340326591,MF
